ID,title,type,message,Class,Sub 1,Sub 2,Sub 3,Sub 4,Sub 5
115952,The Rio Olympics haven't even started and they already look like a disaster.,post,All BS! Here in rio having a ball! The venues are looking great! The city's energy   Is contagious and the water looks clean! AJ U fucking stink!,Hateful,Towards AJ+,,,,
23400,Burqas are already banned in France's public spaces. Looks like burqinis might be next to go.,post,"France is the worst Islamophobic and Anti Islaam country in Europe. They allow women to march naked but scared of women in burqa. Their history is pathetic and shameful. French are zio nazi racist scums.

AJ, Shame on you for posting this crap from one of the most pathetic and gross nation in Europe.
#BoycottFrance
#Islamophobia",Hateful,Towards AJ+,,,,
53010,Do Black Lives Matter In Israel?,video,"!!!LISTEN UP
i lived in israel my whole life....i wanna give you some objective truth here:

we have good things and we have bad things just like any other place and i dont want to sugar coat anything,

 BUT YOU SHOULD KNOW 

this channel is just trying to get people to hate israel in any way possible way  and this is just another way.

i've served with black ethiopeans i've worked with them i love them and im white.

let me tell you right now that BLACK LIVES DO MATTER.
dont buy in to this crap. i dont think we had even one time in our history when a white cop shot an innocent balck man.......
this is just propoganda!!!!!!!!!!!!!!!!!!!

peace to every person black white, muslim, jewish, christian, buddahist

im out             AJ+ IS FULL OF SHIT",Hateful,Towards AJ+,,,,
67467,"The U.S. is accused of faking Al Qaeda propaganda videos.

Correction: The Pentagon is accused of paying way more than $500,000 for the videos – try $500 MILLION.",post,LOL this channel is such crap . What about all the terrorism that Qatar funds? When will we see that video Aj? That's who owns you . Why don't you show the real truth of how much terrorism you guys really do,Hateful,Towards AJ+,,,,
68231,Don't watch this. Just don't.,post,Lmao at all the people that fell for this crap. Aj+ gains popularity with fear! Sorta like trump! And you idiots feed right into it. Congratulations you've help make the world a dumber place!,Hateful,Towards AJ+,,,,
111090,"“He's a punk, he's a dog, he's a pig.” 

Robert De Niro gives his two cents on Donald Trump – Taxi-Driver style.",post,"Yet again AJ+ fails.!!! Thank you asshats for putting a paid actor in front of the camera, not a politician, not a business owner, not a member of the military, nope..... you put an actor, who by definition is paid to read from a script.!! So how much did you give 
De Niro to read your script.!?????",Hateful,Towards AJ+,Accusations,,,
111102,"“He's a punk, he's a dog, he's a pig.” 

Robert De Niro gives his two cents on Donald Trump – Taxi-Driver style.",post,Is there a way I can get all the news from AJ+ excluding Donald Trump or US election stuff? I am seriously tired of this crap...,Hateful,Towards AJ+,,,,
135793,GOP And Refugees Respond To Brussels Attacks,video,"AJ+ (Al Jazeera Plus), known Terrorist Sympathizers, were banned from broadcasting in most middle eastern countries for thumbing-up radical agenda. It's funny they get away with completely disregarding the victims of the bombers and go straight to justifying it and denouncing Trump.",Hateful,Towards AJ+,Accusations,,,
135815,GOP And Refugees Respond To Brussels Attacks,video,"What a load of crap. Several items - no one is afraid of the kids, and generally not the women. If profiling is rightly applied, there should be ALOT of screening for men in their teens, 20s, and 30s.
Next - when will AJ+ show videos of the Muslims in Sweden attacking a news crew as they were filming in a Muslim no-go zone? When will AJ+ show the refugees complaining that they are not getting different food or better apartments or more money?
When will AJ+ do a story as to why the Middle Eastern states are not paying huge sums of money to care for their brethren or taking them into their countries?",Hateful,Towards AJ+,,,,
141086,#KeithLamontScott was killed by a black police officer. Here is how the city of Charlotte reacted to the shooting.,post,"AJ - All you do is promote anti-police crap. Instead of saying what's wrong with the system, offer a solution. Nothing but negativty comes from AJ, you are better off spending time with your loved ones than reading this crap.....",Hateful,Towards AJ+,,,,
141121,#KeithLamontScott was killed by a black police officer. Here is how the city of Charlotte reacted to the shooting.,post,"Again, this is going to stop when black teens stop believing that ""thug life"" is a good thing, when the number of kids in single parent house holds decrease, when they stop killing each other because of gang rivalry......it is a structural problem not a ""racist cop, bad cop"" thing. You morons of AJ+ should share some other facts and not this sensationalist crap......",Hateful,Towards AJ+,,,,
175296,"Before you start rooting for the FBI, there's something you should know.",post,"This page is funded by some rich Arab guy and it has done nothing besides bashing America. Not trying to say that everything they say is bunch of propganda, but it's clear that majority of what's being pushed to the audience is fake crap. Fox news with a different purpose.",Hateful,Towards AJ+,Accusations,,,
192208,Earth might have neighbors.,post,"Yo, AJ+, stop spreading false news and read the actual peer reviewed paper. This is a planetary CANDIDATE. Not an actual discovered planet. Nor do we actually know if it's earth-like. Get it right and stop producing this crappy click bait!!",Hateful,Towards AJ+,Accusations,,,
210879,Ben Affleck Tries To Hide Slave-Owning Ancestry And Apologizes,video,"I am unsubscribing from AJ Plus because of this kind of horse shit. I'm white and barely 1/16 Choctaw Indian, however, I'm NOT nor will I ever apologize for being who I am. Fuck this apologetics crap. The past is indeed the past. I never owned another human being, my parents didn't my grandparents didn't and my great grandparents didn't. I am who I am. If you have a problem with things that occurred that long ago, I have a word of advice: stop! There is no amount of complaining that will right the wrongs of a people's past. Time to face forward. If you think I have something to apologize for simply because of the color of my skin/hair/eyes then you are in fact the racist. ",Hateful,Towards AJ+,,,,
248585,"“The entire universe is going to have to answer to this one day.” 

Thousands have started to evacuate their homes in Aleppo.",post,Soon the bill must be paid. AJ+ is a propaganda instrument (FAKE NEWS). What comes out my butt has more resemblence to news than this crap! :-D,Hateful,Towards AJ+,Accusations,,,
248945,What would America's tech industry be like without immigrants?,post,"Lol a temporary 90 day ban on the 7 high risk countries (India, where vast majority of IT talent comes from, isn't even included!) and everyone thinks it's the end of the world. This is why no one trusts the liberal media, you guys full of crap.",Hateful,Media,,,,
250457,One side of Aleppo burns while the other side parties.,post,What a total piece of crap!!! This video should be reported and removed! This is the kind of media material that would only fuel the conflict even more!!! We NEED peace! We deserve a chance to live as human beings. AJ+ you should be ASHAMED of yourself as a media panel playing that dirty game .......,Hateful,Towards AJ+,,,,
257795,Is measles making a return in the United States?,post,"I love how you make a stupid video trying to discredit anti ""vaxxers"" but then can't scientifically disprove how bad additives and the amounts of vaccines that are pumped into minors till the age of 18, actually are. Great work with the unbiased reporting AJ+, spreading more biased crap to give idiots like Daniel Fonda the security that all the decisions they took for their kids are just fine :)",Hateful,Towards AJ+,Accusations,,,
295219,BDS Movement Grows \u2013 Netanyahu Trying To Counter It,video,AJ is the biggiest joke out there i would rather take my news from buzzfeed then from this crappy one sided news outlet,Hateful,Towards AJ+,Accusations,,,
308567,She wears a niqab. She plays heavy metal. And she doesn't care what anyone thinks.,post,"*sigh not another fool. Damn AJ despite being based in an Arab country you sure are liberal as crap. Next it will be a Muslim stripper who wear hijab, ""she's breaking stereotypes!"".",Hateful,Towards AJ+,Accusations,,,
318756,"Officially, these kids don't even exist. Meet Malaysia's invisible children.",post,"i think #AJ+ had an agenda..sponcer by someone or some agency..to spread havoc or to humaliate malaysia...this in not the 1st time, AJ+ making a video like this...

your proof came from aljazeera? no wonder you r full of crap..",Hateful,Towards AJ+,Accusations,,,
337230,Israeli Border Police Officer Flips Over Man In Wheelchair,video,"""Allegedly"", AJ you are news crap",Hateful,Towards AJ+,,,,
18245,"“You're not laughing now, are you?” 

Nigel Farage addresses the European Parliament following UK's Brexit vote.",post,"AJ+ what a shithole of a page, liberal rag...",Hateful,Towards AJ+,,,,
38485,This 5-year-old is Australia's cutest sheep shearer.,post,"AJ + : ""We bring you the stories that are shaping our world"". Wow great job. Most of your shared news is bullshit.",Hateful,Towards AJ+,,,,
40573,Washed-Up Sperm Whales Draw Crowds To UK Beaches,video,"Why do AJ+ viewers never thumb down a shitty story? Is it about positive ratings for the channel? 
We whaled sperm whales nearly to extinction for their oil, it's the oil we used before petroleum. This story sucks.",Hateful,Towards AJ+,,,,
42396,North Carolina's Anti-LGBT Law Worst In Country,video,"AJ+ is full of bullshit. *You don't what you are talking about. The law is about freedom. No one care what you call yourself and you are free to claim to be woman (if you are a biological male) but don't force others to your false reality. The law bring back the statues-quo to the state. And it remove and preempt the Charlotte  mandate on private businesses.  It's the private business owner's well to separate between sexes in bathrooms. It's about keeping Government away from private businesses who don't want to let men to use women's bathroom. you have a civil right to be left alone, you don't have a right to someone else's private facilities.*",Hateful,Towards AJ+,,,,
42565,Dallas Shooter Killed After Attack On Police HQ,video,"Did the shooter do it for religious, political, or ideological reasons?  If not, it's not terrorism.  Period.

This shitty false equivalence is rich coming from AJ+, the guys who now refuse to call ISIS terrorist.

These clowns are DESPERATE for a false equivalence.

Meanwhile, Boko Haram kills 27 in a suicide bombing in Chad.  Waiting for the unbiased report on that.",Hateful,Towards AJ+,Accusations,,,
42725,The Eiffel Tower Will Not Light Up For Pakistan,video,"I have never seen such a bs irrelevant video, AJ+ is turning a typical Islamic terror attack into a chance to shit on the west",Hateful,Towards AJ+,Accusations,,,
43723,Russian Media Says Weather Perfect For Bombing Syria,video,Hey aj. bullshit propaganda. nato never said planes will be shot down. Russia apologized to Turkey stating bad weather. you should make a video about the us bombing a hospital in Afghanistan. very educational,Hateful,Towards AJ+,,,,
45838,An image of a bloody man begging for his life before being murdered by a mob has gone viral.,post,"People have a voice now, thanks to social media. What is not so good is things twisted and being blown out of all proportion and made into a monster that doesn’t exist.
We all know media sensationalizes, and we shrug it off. But this is gradually creating an unimaginable divide between castes, creed, races, sexes and cultures.
People, start getting real. This generation needs more love. More humanity. More awareness. And not shitty pot-boiling news makers like the Al Jazeera (AJ+) and others.",Hateful,Towards AJ+,,,,
46518,Nazi Ads For 'Man In The High Castle' Removed From NY Subway By Governor Cuomo (Update),video,Aj plus is so AIDS holly shit,Hateful,Towards AJ+,,,,
50122,Canadian Hospitality Union Asks Donald Trump For Respect,video,"AJ+ has to lie to gain viewers.
What a shit channel, made for stupid uber-leftist losers.",Hateful,Towards AJ+,Accusations,,,
50202,Oregon Standoff: What If The Armed Men Were Black Or Muslim?,video,"Shit like this is what divides AMERICANS, fucking liberal arts majors trying to be a big hit on youtube covering race and religion.",Hateful,Towards AJ+,,,,
57865,This condom is hot and spicy ... and can save elephants.,post,"Booo, AJ trying to be edgy with a condom story, get your wanna be NowThis gay bullshit ass outta here with this fake ass news",Hateful,Towards AJ+,,,,
67575,Two sedans. Two countries. Two very different crash results.,post,"AJ+ Really? ""Mexican sedan"" and ""American sedan""...? both cars are manufactured in Mexico... by the same brand (Nissan, Japanese by the way). Why do not you get real information before posting this kind of fake bullshit.",Hateful,Towards AJ+,,,,
67724,Two sedans. Two countries. Two very different crash results.,post,"This is absolute fraud.  Both sedans are Nissan Sentras, yes.  But the Mexican car, while a current model there, was discontinued in the US years ago and is now being discontinued in Mexico simply because it is dangerous. Let's test two COMPARABLE cars from the two countries and see what happens.  I call bullshit, AJ.

This is NOT to say that Mexican standards couldn't be better.  But claiming this is a fair demonstration is like comparing bananas to bombs.",Hateful,Towards AJ+,,,,
79160,These Syrian children went to get chips from a food truck. The vehicle exploded and killed more than 60 of them.,post,Don't believe the bullshit title and caption. These were civilians from rebel-held territory that were on buses ready to be evacuated to Assad government side. These families were elected to escape rebels and an agreement was made. Then a rebel/terrorist vehicle full of explosive drove into the crowd and detonated during the evacuation process. AJ+ get your shits straight and do proper unbias reporting.,Hateful,Towards AJ+,,,,
83590,CNN Mistakes Dildo Banner For ISIS Flag,video,"How is this bad at all, at a far away distance it looks like isis, a bad group.   They corrected their mistake, so not a fault on them. Nice AJ+ bullshit video.",Hateful,Towards AJ+,,,,
89536,"While everyone was distracted by what Ivanka and Melania weren't wearing, President Trump just signed the biggest arms deal ever with Saudi Arabia.",post,"I can""t believe that AJ+ is so closed minded media. It just made this news from nothing and made lots of bullshit.
Saudi Arabia are not attacking Yemen, Saudia arabia is attacking ISIS in Yemen. Yemen people are living among Saudi cities and there are millions of them there. If Saudi Arabia was actually doing what ever bullshit that this news media are saying, Saudia Arabia would be in civil war. It's such an non sense.",Hateful,Towards AJ+,Accusations,,,
93272,Protesters Disrupt Vigil For Brussels Attacks,video,"AJ+ are you just making this shit up to spin the story. 

These protestors were peaceful just very loud and very angry.  
I saw no violence whatsoever from them in your report or R.Ts report.
I saw no Nazi salutes.
I saw no muslim women confronted.  
There were cameras everywhere so don't say ""reported"" when there is no evidence AJ+.
I am amazed how well behaved they were considering what has happened.",Hateful,Towards AJ+,Accusations,,,
94151,Human Rights Abuses In Modi's India,video,Of course I am sure the vast majority of Indians feel very sad about what happened during the Gujarat riots and it is a tragedy but to be fair this is a bullshit propaganda video,Hateful,Towards AJ+,Accusations,,,
94669,Instagram Model Essena O'Neill Makes Emotional Video Quitting Social Media,video,"oh look...all the fucks i given ! attention whore !
and plz AJ+ i have make you my main news channel,stop posting this kind of shit,you make your channel look cheap,stay classy",Hateful,Towards AJ+,,,,
111198,Saudi Arabia Executes 100th Person In 2015,video,"They cited their sources. HOLY SHIT. AJ+ JUST CITED WHERE THEY GOT THEIR INFORMATION FROM TO CONFIRM THEY AREN'T JUST PULLING SHIT OUT THEIR ASS.

Good job. More citations in the future please.",Hateful,Towards AJ+,,,,
113409,A new campaign tells men that it's OK to cry.,post,"This's the last straw. Constant bullshit on AJ, next there'll be piece on how how telling kids at sports day there's no such thing as winning and losing is beneficial. Yawn, what a joke.",Hateful,Towards AJ+,,,,
114188,"Hundreds of street recyclers are about to lose their income in Oakland.

We produced this report in solidarity with the #SFHomelessProject, a coordinated media effort to cover the causes of and solutions to homelessness on June 29.",post,This piece is a heaping pile of BULLSHIT. I live a street away from Alliance Recycling in Oakland and it has caused nothing but problems. All the crackheads that recycle just support the crack dealers on our street. Don't get me wrong these aren't your normal dealers. Just two weeks ago got into a gun fight outside my house with AR-15's AND pistols. Shot the whole god damn block up. While there's baby's in these house's. The dealers they support constantly harass everyone on this street. I can't wait until Alliance shuts down for good. Also the shut down was forced by a police investigation not by the local people. Thanks for lying to all these people for this bullshit piece AJ+.,Hateful,Towards AJ+,Accusations,,,
116209,Refugees Unwelcome: The Fight Over Germany's Surge In Refugees,video,"Al Jazeera isn't even journalism, it's Islamic propaganda. They shit on Germany for not treating the ""migrants"" fairly, despite the fact that the richest Muslim countries Saudi, UAE, Bahrain and most importantly Qatar (the country where AJ is based) have not taken in one ""migrant."" Why should we be taking care of these Muslims when the Muslims refuse to take care of each other?",Hateful,Towards AJ+,Accusations,,,
43176,British Police Shout 'Allahu Akbar' During Training Exercise,video,"Muslims that shout this when hoping a maximum of kafir will die are utterly responsible for how this expression is now assiciated with violence. Aj+ you suck, you dirty islamists hypocrites.",Hateful,Towards AJ+,Accusations,,,
50160,Oregon Standoff: What If The Armed Men Were Black Or Muslim?,video,"It would depend: If they were Jihadists doing it in the *name* of Islam, it's not a fair comparison. These people, are stupid as they are, are at least afraid of death/consequences and there's a certain level of ""we can't go too far because...."". Jihadists don't feel this way, they are not afraid to die for a cause, in fact it's an honour. If it happened to be a group of blacks or Muslims protesting something like this, yes, that's a double standard. However, if it's in the name of Islam and they are Islamists or even worse Jihadists (who are the ones who generally do this, not your every day Muslim) then it would be fair to treat them with a greater degree of force given the nature of the threat and the sheer lack of rationality/supernatural grivences/belief. Fuck you AJ+, SJW scum. Go do a story about how 86% of Egypatian Muslims believe death is appropriate for apostasy WITHOUT mentioning America or Israel or ""Fuck white people"".",Hateful,Towards AJ+,,,,
54847,Racism in the workplace: What you can do to protect your white employees from hearing about it.,post,"I guess people aren't sick of cultural marxism yet. 
The one thing governemnt is scared of is United people who don't buy this media crap. White privilege, BLM , hatred of Muslims, etc it's all cultural marxism. While everyone's discussing  how white people need to be weak, how certain lives are supposed to matter more,and how the world is supposed to be scared of Muslims-governments gets to take everyone's freedoms away.",Hateful,Media,,,,
94172,Human Rights Abuses In Modi's India,video,FUCK AJ+. The anchor is Muslim and that explains everything.,Hateful,Towards AJ+,,,,
109499,#CanYouHearUsNow? Muslim women hit back at Donald Trump and it's glorious.,post,"I see the USA election as a lose lose outcome. Both candidates are brutally unprepared to represent the so called ""best country"" in the world. It sickens me how mainstream media only recognizes trump as the evil one and because if this, Hilary is portrayed as an angel. Enough is enough!!! Do your research and realize we have nominated two asses. Luckily, the population is huge compared to the government and each of us have the potential to make a change on our own for the better. I love you all!",Hateful,Media,,,,
133121,Dia De Los Muertos (Day Of The Dead) \u2013 A Brief Explainer,video,Meanwhile AJ shits all over Halloween. Fuck AJ.,Hateful,Towards AJ+,,,,
133548,Gaza And Ferguson: Closer Than You Think,video,"Only lefties can do such unscientific approximations. Blacks in US commit the most crime, so they support the PaLIEStain ...muh freedummms...fuck you. AJ+ cunts.",Hateful,Towards AJ+,,,,
133628,Americans Show Why USA Is The #1 Country In The World,video,"America > rest of the world. 

Fuck AJ news, just more American hating progressive bullshit. ",Hateful,Towards AJ+,,,,
151251,Fidel Castro led Cuba for nearly 50 years. Here are five things you need to know about his rule.,post,This is pure and utter bullshit. I'm unfollowing AJ+. Anyone who supports an evil tyrant and murderer like Fidel Castro doesn't deserve my time or respect.,Hateful,Towards AJ+,,,,
151295,"When airstrikes hit, this is what you see and hear.",post,So are were you when the FSA jihadists fire mortars daily into much more densely populated western Aleppo causing mass civilian casualties. Rubbish one-sided reporting from Syria - AGAIN AJ+!,Hateful,Towards AJ+,Accusations,,,
196738,This controversial Pakistani celebrity was murdered by her own brother.,post,Innocent woman provoked by media scums over the name of boldness to eventually face this worst ending.. media just intended to grab hype and spice over her femininity and sexuality.. poor women of delusive liberal society...,Hateful,Media,,,,
213348,Refugees Fight Deportation To Turkey,video,he is not a fucking refugee he is a economic migrant fuck aj+,Hateful,Towards AJ+,,,,
216321,The Europe\u2013Turkey Refugee Deal Explained,video,"AJ+ reported that there is no crisis, no negative ramifications.

Fuck you AJ+.

Don't worry about what comes off of the AJ+ ass rag Europe, AJ+ will bitch and demonize you no matter what.",Hateful,Towards AJ+,,,,
217366,Why Weddings Cost More Than You Think,video,"Eugenicist, anti-Christian bigots discourage marriage. Fuck you AJ+ .....*Frederick Jaffe* (President of Planned Parenthood in 1969) and Margaret Sanger's (Founder of Planned Parenthood) dream is coming true. See below for Jaffe's memo. http://www.jillstanek.com/wp/wp-content/uploads/2011/11/jaffe-memo.png

In the memo you can clearly see that most of the things this man planned to depopulate the world has already begun, and some of the more scary suggestions are probably on the way. Please do research every suggestion this sociopath recommended and unfortunately what youll find is that most of his suggestions have come to pass already.

Stop pushing this agenda AJ+",Hateful,Towards AJ+,,,,
261760,German Army Has A Unique Response To The Refugee Crisis,video,AJ+ Islamic jerks from QATAR has NO REPORT on refugees in QATAR. FUCK YOU AJ+.,Hateful,Towards AJ+,,,,
263279,Altered State: Colorado\u2019s Marijuana \u2018Green Rush\u2019,video,AJ you suck your a race baiting shit bag I'm what is so called white person. I've done prison time for marijuana my race has never kept me from being subject to the law. The law is the law you brake it get caught go to jail don't matter what color you are.,Hateful,Towards AJ+,Accusations,,,
264681,Gap Kids Apologizes For Ad,video,"GAP: ""Damn! Our secret plot to instill *_subliminal racism_* into the clothes and minds of the youth to further our white supremacist agenda was foiled again!""

Fuck you AJ+, do you _need_ to be reprehensible pieces of shit?",Hateful,Towards AJ+,,,,
293924,News Outlets Rummaged Through Apartment of Alleged San Bernardino Shooters,video,Why show sympathy for these terrorist ?? The child is going to be one also. Fuck aj plus  aljazeera terrorist shit,Hateful,Towards AJ+,,,,
294996,AJ+ Raw Coverage: Clashes In The West Bank,video,Why don't they have quotes around PRESS on her jacket?  It would make much more sense that way.  Fuck you AJ+!,Hateful,Towards AJ+,,,,
301054,Rising Hindu Nationalism In India,video,Fuck you AJ+ ! You have no clue what is india about!,Hateful,Towards AJ+,,,,
304833,Israel Vs Palestine - By The Numbers,video,"Oh dear, the poor Palestinians. They attack a bigger and more powerful country then themselves and then get their ass handed to them. Fuck yourself Hamas and fuck you AJ+. Victim blaming at it's finest. ",Hateful,Towards AJ+,Accusations,,,
323028,The president of the Philippines says “f*ck you” to the EU.,post,AJ crap reporting! Your showing DeLima as poor girl get kick out of her post? Such a piece of crap report #AJ know your facts! guess its time to unfollow AJ!!,Hateful,Towards AJ+,,,,
324051,Here are five reasons why this was the best Olympics ever.,post,"AJ+ You suck, kill yourself. This was the worst Olympics in history.",Hateful,Towards AJ+,Promoting violence,,,
345833,What Is The Zika Virus?,video,Fuck you AJ always blame Africa for spreading virus.This started in Brasil!!!!,Hateful,Towards AJ+,,,,
267999,Trump is known for checking things out ... like his wife's ballot.,post,the muslim media as lost!!! AJ+ go back to Katar you anti American idiots!!!,Hateful,Towards AJ+,,,,
296276,What Happens When You Drop A Barrel Bomb?,video,"Fuck al jazeera, fuck usa!!!",Hateful,Towards AJ+,Specific nation(s),,,
50011,#WelcomeToCanada: First Group Of Syrian Refugees Are On Their Way To Canada,video,And then you have the American fucktards proposing to ban all Muslims... smh,Hateful,Specific nation(s),,,,
171406,"Willkommen, Refugees! A German TV Show For Refugees ... In Arabic",video,"Germany Fucking the rest of Europe over again, if only germans knew how much the rest of us hate them. Fuck Germany we dont need any more Arabs, no Shahria, no Burkas, no Terrorists, no Beheadings Fuck Arabs and Fuck German scum, we Europeans dont want you muslims because everywhere you go you bring violence. Pull out a world map and see for yourself.",Hateful,Specific nation(s),,,,
255617,Killing Endangered Animals: A Lawless Border Town Where Trade Is Thriving,video,FUCK CHINESE PEOPLE I HOPE THEY DIE,Hateful,Specific nation(s),Promoting violence,,,
259014,China Bans Ramadan \u2013 Turkey Protests For China's Uyghurs,video,"Fuck china !!!
 Communist are bastard !! Save uygur muslim all of you will be independent",Hateful,Specific nation(s),,,,
300910,Refugee Crisis: What's The World's Responsibility?,video,Why don t you take them seeing it s all your fault they are here anyway you piece of shit american scum,Hateful,Specific nation(s),,,,
338892,Human Rights Watch (HRW) Blasts Hungary's Refugee Response,video,"The reason why we cant treat them like germany or other western countries do is because we DONT HAVE THE MONEY TO HELP THEM. we're not fucking germany, and even if the EU ever gave some money for our government they will steal it anyway..",Hateful,Specific nation(s),,,,
139239,Drowned Syrian Boys' Father Calls Out Arab Leaders Over Refugee Crisis,video,Shameless Arabs. I pray that the Saudis suffer the same pain as the Syrians one days soon.  Saudis fundal these wars so ya why should they help? I Hate Saudi Wahabbi Kafir who are in bed with Zionists every day and night. Shame on Arabs with no dignity.,Hateful,Specific nation(s),,,,
172195,Syrian Refugee Numbers Hit 4 Million,video,"What???????

Lebanon. 

Its a tiny poor country to begin with. How they accept that many immigrant is remarkable. 

Fucking Saudi Arabia. Its rich and massive and won't take up no one.",Hateful,Specific nation(s),,,,
220241,Saudi Arabia Attacks Yemen: A New War In The Middle East,video,"GOOD JOB HOUSIS ,PLEASE FUCK SAUDI ARABIA AS WELL AND RESCUE OUR LANDS FROM THIS FUCKING TERRORISTS",Hateful,Specific nation(s),,,,
274868,"In Syria, some people party while others die.",post,"Bullshit...
All the evidence and records have shown that most of armed rebels in Syria who fight Assad are generally foreign Arab rebels from Fucking Saudi Arabia, Palestine, Algeria, Libya, and from many other Asian and Europe countries. If I were a Syrian I would certainly choose to fight with Assad against foreign mercenaries are supported by regional countries rather than live among them and follow their extreme sharia law.",Hateful,Specific nation(s),,,,
255732,Has The Gateway To Europe Been Shut To Refugees?,video,"+AJ+ Assholes, you conveniently forgot to mention that there will be a 1:1 barter also for Syrian refugees in Turkey, who will be allowed to settle in EU.",Hateful,Towards AJ+,,,,
